시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
경기,경기 오산시,노인인구비율,3.95,3.95,4.00,4.07,4.13,4.20,4.27,4.30,4.16,4.34,4.69,4.93,5.09,5.04,5.33,5.53,5.71,5.96,6.17,6.37,6.58,6.82,7.05,7.43,7.68,8.14,8.45,8.95,9.6,10.26
경기,경기 시흥시,총인구,128517,131940,135903,139262,174876,221420,253329,293272,318083,337402,353860,368223,378613,387239,390477,390564,392756,397912,403797,401149,399485,396765,394639,398256,402888,419664,448687,473682,500895,512030
경기,경기 시흥시,노인인구비율,4.44,4.56,4.64,4.52,4.19,4.02,3.97,3.93,4.01,4.15,4.27,4.48,4.72,4.93,5.22,5.58,5.81,6,6.19,6.39,6.69,7.02,7.31,7.58,7.86,8.22,8.37,8.74,9.34,9.94
경기,경기 군포시,총인구,130877,177873,223212,244540,253874,261794,270138,270061,270151,269080,268559,273765,275761,277781,274569,275351,277590,275731,287833,287294,286841,286344,288408,287519,284890,281205,276916,275852,273791,268535
경기,경기 군포시,노인인구비율,3.17,3.39,3.81,3.89,3.95,4.07,4.27,4.55,4.81,5.03,5.32,5.59,5.87,6.18,6.58,6.99,7.25,7.5,7.66,7.99,8.4,8.76,9.13,9.56,10.01,10.77,11.45,12.23,13.3,14.26
경기,경기 의왕시,총인구,97641,95481,105376,109752,111562,114311,115505,116300,121292,124191,133395,143388,145535,145952,138253,135009,134488,140874,147443,149607,154757,159772,158482,157740,156763,155767,153932,161153,163795,163356
경기,경기 의왕시,노인인구비율,4.23,4.36,4.33,4.42,4.55,4.77,4.91,5.18,5.37,5.66,5.91,6.09,6.28,6.68,7.11,7.63,7.98,8.08,8.19,8.56,8.82,9.26,9.82,10.36,10.79,11.68,12.44,12.92,13.6,14.47
경기,경기 하남시,총인구,95112,96154,107521,117378,122008,125163,123836,123709,123366,123659,127541,128326,129903,132850,134824,137131,143638,148566,150479,148397,146269,145096,148896,166713,211101,232487,254415,272455,293452,320087
경기,경기 하남시,노인인구비율,4.85,4.96,4.77,4.83,4.90,5.09,5.31,5.52,5.81,6.14,6.39,6.73,7.03,7.40,7.69,8.18,8.51,8.94,9.47,9.86,10.47,11.16,11.65,11.59,11.04,11.54,11.91,12.33,12.8,12.98
경기,경기 용인시,총인구,182625,191347,209071,243785,270517,300670,318393,357126,392133,451670,525622,575255,640452,693660,766569,800294,816763,839204,876550,896044,915959,941477,961026,975746,991126,1004081,1035126,1059609,1074176,1077508
경기,경기 용인시,노인인구비율,5.46,5.51,5.42,5.21,5.20,5.18,5.19,5.27,5.42,5.61,6.02,6.41,6.66,6.94,7.23,7.70,8.09,8.4,8.63,9.05,9.52,9.89,10.23,10.67,10.99,11.64,12.08,12.63,13.32,13.95
경기,경기 파주시,총인구,164647,166496,167600,168249,171056,177136,178803,181496,191726,224658,235147,237658,246323,261770,292752,303831,311164,323011,355632,378790,394201,401718,411348,423321,430781,437848,451848,454040,465617,483245
경기,경기 파주시,노인인구비율,7.10,7.31,7.57,7.88,8.10,8.28,8.56,8.81,9.03,8.90,9.36,9.82,10.20,10.31,10.20,10.63,10.91,11.07,10.81,10.85,11.08,11.4,11.67,11.92,12.07,12.53,12.81,13.36,13.94,14.3
경기,경기 이천시,총인구,147500,148111,150805,155737,160479,171108,175400,180285,183605,187274,189526,190753,190808,192271,194369,195691,196633,197496,202595,204566,204917,205479,205014,204935,210359,213142,214206,215834,218388,223177
경기,경기 이천시,노인인구비율,6.00,6.16,6.33,6.40,6.46,6.46,6.69,6.88,7.13,7.41,7.75,8.09,8.49,8.77,9.08,9.52,9.77,10.05,10.2,10.48,10.84,11.2,11.64,12.02,12.07,12.64,13.07,13.55,14.26,14.8
경기,경기 안성시,총인구,120450,120914,122318,124671,125839,128339,129957,132093,136590,141605,147898,151522,154110,157130,159655,163733,169545,170919,177937,180743,181608,182173,181896,180199,182896,182786,183579,183405,187012,189534
